Battery_Temp_degC,Voltage,Current,Wh,Ah,SoH
2.4859817,0.735028207,0.668706763,0.088127345,0.068678452,2.289281736
9.782545,0.6793046,0.623391342,0.20022134,0.092761387,3.092046231
0.66495097,0.709076655,0.64863224,0.03465868,0.079465744,2.648858142
6.836,0.681729031,0.599317926,0.13921736,0.107135182,3.571172717
0.5898278,0.74311198,0.623559338,0.026667329,0.097186476,3.2395492
0.954339,0.763826191,0.641388875,0.043693736,0.089629669,2.98765565
5.846272,0.802885878,0.635647708,0.12768249,0.087327971,2.910932352
0.7077017,0.794673204,0.628970069,0.03869965,0.087657715,2.921923846
7.7078795,0.794410634,0.622765744,0.2004207,0.088721998,2.957399935
1.672572,0.775607896,0.584655857,0.07311225,0.095117071,3.17056903
7.5984735,0.712738609,0.548379767,0.10792017,0.131505271,4.383509047
3.4701815,0.710106885,0.564400053,0.08685192,0.116170135,3.872337826
8.031315,0.6747365,0.518805009,0.16982733,0.152409572,5.080319072
0.74757284,0.702094817,0.570411319,0.046240065,0.119724394,3.990813146
7.1348577,0.691657245,0.547942394,0.12350836,0.146367649,4.878921633
1.2258531,0.731392097,0.593320709,0.020253407,0.113226736,3.774224545
2.6631954,0.696348035,0.607205063,0.0519533,0.112885476,3.762849197
2.5565724,0.73470602,0.628253496,0.105163395,0.08796512,2.932170654
7.127496,0.680307651,0.596915233,0.14149688,0.112814051,3.760468364
0.8393455,0.69554497,0.630394495,0.042312305,0.081321302,2.710710056
2.505289,0.699853885,0.601506376,0.100490354,0.086037077,2.867902555
9.717958,0.691715097,0.580886209,0.16276164,0.109139864,3.637995459
0.51716226,0.690235674,0.606762469,0.029320342,0.096498635,3.216621168
5.544853,0.718027723,0.588065463,0.17422311,0.095366346,3.178878215
4.981784,0.715028322,0.55598529,0.15156834,0.118030164,3.934338788
5.593893,0.696616626,0.530800581,0.09117453,0.135454585,4.515152822
5.9698963,0.729507756,0.524784482,0.17745574,0.125188269,4.172942291
2.348239,0.712503242,0.507267547,0.10128459,0.135731667,4.524388909
5.1199837,0.721470559,0.526930374,0.15524319,0.134613368,4.487112264
7.1175237,0.69698261,0.520870733,0.17380632,0.140241051,4.674701691
2.460825,0.719193244,0.541766602,0.106549546,0.122861622,4.095387409
9.184032,0.679299927,0.564517134,0.07704189,0.137835564,4.594518791
6.3975024,0.674819708,0.552118689,0.13215052,0.157148238,5.238274584
